2023-11-18 15:19:59 - RAM: 37.2% used, Swap: 1.7% used
2023-11-18 15:20:01 - RAM: 38.1% used, Swap: 1.7% used
2023-11-18 15:20:03 - RAM: 28.3% used, Swap: 1.7% used
2023-11-18 15:20:05 - RAM: 34.2% used, Swap: 1.7% used
2023-11-18 15:20:07 - RAM: 35.9% used, Swap: 1.7% used
2023-11-18 15:20:09 - RAM: 44.7% used, Swap: 1.7% used
2023-11-18 15:20:11 - RAM: 44.1% used, Swap: 1.7% used
2023-11-18 15:20:13 - RAM: 54.2% used, Swap: 1.7% used
2023-11-18 15:20:15 - RAM: 49.3% used, Swap: 1.7% used
2023-11-18 15:20:17 - RAM: 50.0% used, Swap: 1.7% used
2023-11-18 15:20:19 - RAM: 50.7% used, Swap: 1.7% used
2023-11-18 15:20:21 - RAM: 51.5% used, Swap: 1.7% used
2023-11-18 15:20:23 - RAM: 43.2% used, Swap: 1.7% used
2023-11-18 15:20:25 - RAM: 26.2% used, Swap: 1.7% used
2023-11-18 15:20:27 - RAM: 32.0% used, Swap: 1.7% used
2023-11-18 15:20:29 - RAM: 34.0% used, Swap: 1.7% used
2023-11-18 15:20:31 - RAM: 34.4% used, Swap: 1.7% used
2023-11-18 15:20:33 - RAM: 33.7% used, Swap: 1.7% used
2023-11-18 15:20:35 - RAM: 34.1% used, Swap: 1.7% used
2023-11-18 15:20:37 - RAM: 24.2% used, Swap: 1.7% used
2023-11-18 15:20:39 - RAM: 24.1% used, Swap: 1.7% used
2023-11-18 15:20:41 - RAM: 22.8% used, Swap: 1.7% used
2023-11-18 15:20:43 - RAM: 22.8% used, Swap: 1.7% used
2023-11-18 15:20:45 - RAM: 22.8% used, Swap: 1.7% used
2023-11-18 15:20:47 - RAM: 22.9% used, Swap: 1.7% used
2023-11-18 15:20:49 - RAM: 23.2% used, Swap: 1.7% used
2023-11-18 15:20:51 - RAM: 29.3% used, Swap: 1.7% used
2023-11-18 15:20:53 - RAM: 32.0% used, Swap: 1.7% used
2023-11-18 15:20:55 - RAM: 32.5% used, Swap: 1.7% used
2023-11-18 15:20:57 - RAM: 32.0% used, Swap: 1.7% used
2023-11-18 15:20:59 - RAM: 33.3% used, Swap: 1.7% used
2023-11-18 15:21:01 - RAM: 31.9% used, Swap: 1.7% used
2023-11-18 15:21:03 - RAM: 36.6% used, Swap: 1.7% used
2023-11-18 15:21:05 - RAM: 38.0% used, Swap: 1.7% used
2023-11-18 15:21:07 - RAM: 38.6% used, Swap: 1.7% used
2023-11-18 15:21:09 - RAM: 42.0% used, Swap: 1.7% used
2023-11-18 15:21:11 - RAM: 46.1% used, Swap: 1.7% used
2023-11-18 15:21:13 - RAM: 55.5% used, Swap: 1.7% used
2023-11-18 15:21:15 - RAM: 58.4% used, Swap: 1.7% used
2023-11-18 15:21:17 - RAM: 48.9% used, Swap: 1.7% used
2023-11-18 15:21:19 - RAM: 49.1% used, Swap: 1.7% used
2023-11-18 15:21:21 - RAM: 55.9% used, Swap: 1.7% used
2023-11-18 15:21:23 - RAM: 57.1% used, Swap: 1.7% used
2023-11-18 15:21:25 - RAM: 57.2% used, Swap: 1.7% used
2023-11-18 15:21:27 - RAM: 51.5% used, Swap: 1.7% used
2023-11-18 15:21:29 - RAM: 52.2% used, Swap: 1.7% used
2023-11-18 15:21:31 - RAM: 55.8% used, Swap: 1.7% used
2023-11-18 15:21:33 - RAM: 57.2% used, Swap: 1.7% used
2023-11-18 15:21:35 - RAM: 58.0% used, Swap: 1.7% used
2023-11-18 15:21:37 - RAM: 59.3% used, Swap: 1.7% used
2023-11-18 15:21:39 - RAM: 40.6% used, Swap: 1.7% used
2023-11-18 15:21:41 - RAM: 41.3% used, Swap: 1.7% used
2023-11-18 15:21:43 - RAM: 51.4% used, Swap: 1.7% used
2023-11-18 15:21:45 - RAM: 34.4% used, Swap: 1.7% used
2023-11-18 15:21:47 - RAM: 40.8% used, Swap: 1.7% used
2023-11-18 15:21:49 - RAM: 41.4% used, Swap: 1.7% used
2023-11-18 15:21:51 - RAM: 41.9% used, Swap: 1.7% used
2023-11-18 15:21:53 - RAM: 41.6% used, Swap: 1.7% used
2023-11-18 15:21:55 - RAM: 42.3% used, Swap: 1.7% used
2023-11-18 15:21:57 - RAM: 53.5% used, Swap: 1.7% used
2023-11-18 15:21:59 - RAM: 51.8% used, Swap: 1.7% used
2023-11-18 15:22:01 - RAM: 55.5% used, Swap: 1.7% used
2023-11-18 15:22:03 - RAM: 60.1% used, Swap: 1.7% used
2023-11-18 15:22:05 - RAM: 60.7% used, Swap: 1.7% used
2023-11-18 15:22:07 - RAM: 60.5% used, Swap: 1.7% used
2023-11-18 15:22:09 - RAM: 61.3% used, Swap: 1.7% used
2023-11-18 15:22:11 - RAM: 62.0% used, Swap: 1.7% used
2023-11-18 15:22:13 - RAM: 62.8% used, Swap: 1.7% used
2023-11-18 15:22:15 - RAM: 63.5% used, Swap: 1.7% used
2023-11-18 15:22:17 - RAM: 45.6% used, Swap: 1.7% used
2023-11-18 15:22:19 - RAM: 26.1% used, Swap: 1.7% used
2023-11-18 15:22:21 - RAM: 27.0% used, Swap: 1.7% used
2023-11-18 15:22:23 - RAM: 27.4% used, Swap: 1.7% used
2023-11-18 15:22:25 - RAM: 27.6% used, Swap: 1.7% used
2023-11-18 15:22:27 - RAM: 27.8% used, Swap: 1.7% used
2023-11-18 15:22:29 - RAM: 26.6% used, Swap: 1.7% used
2023-11-18 15:22:31 - RAM: 33.7% used, Swap: 1.7% used
2023-11-18 15:22:33 - RAM: 32.7% used, Swap: 1.7% used
2023-11-18 15:22:35 - RAM: 38.5% used, Swap: 1.7% used
2023-11-18 15:22:37 - RAM: 47.0% used, Swap: 1.7% used
2023-11-18 15:22:39 - RAM: 53.4% used, Swap: 1.7% used
2023-11-18 15:22:41 - RAM: 54.2% used, Swap: 1.7% used
2023-11-18 15:22:43 - RAM: 43.1% used, Swap: 1.7% used
2023-11-18 15:22:45 - RAM: 43.7% used, Swap: 1.7% used
2023-11-18 15:22:47 - RAM: 44.3% used, Swap: 1.7% used
