2023-11-14 14:55:53 - RAM: 91.8% used, Swap: 1.7% used
2023-11-14 14:56:03 - RAM: 79.3% used, Swap: 2.0% used
2023-11-14 14:56:13 - RAM: 53.5% used, Swap: 2.0% used
2023-11-14 14:56:23 - RAM: 60.2% used, Swap: 2.0% used
2023-11-14 14:56:33 - RAM: 69.1% used, Swap: 2.0% used
2023-11-14 14:56:43 - RAM: 90.4% used, Swap: 2.0% used
2023-11-14 14:56:53 - RAM: 90.2% used, Swap: 2.0% used
2023-11-14 14:57:03 - RAM: 41.2% used, Swap: 2.0% used
2023-11-14 14:57:13 - RAM: 35.8% used, Swap: 2.0% used
2023-11-14 14:57:23 - RAM: 41.0% used, Swap: 2.0% used
2023-11-14 14:57:33 - RAM: 19.8% used, Swap: 2.0% used
2023-11-14 14:57:43 - RAM: 47.5% used, Swap: 2.0% used
2023-11-14 14:57:53 - RAM: 51.9% used, Swap: 2.0% used
2023-11-14 14:58:03 - RAM: 58.1% used, Swap: 2.0% used
2023-11-14 14:58:13 - RAM: 68.9% used, Swap: 2.0% used
2023-11-14 14:58:23 - RAM: 30.2% used, Swap: 2.0% used
2023-11-14 14:58:33 - RAM: 44.8% used, Swap: 2.0% used
2023-11-14 14:58:43 - RAM: 45.3% used, Swap: 2.0% used
2023-11-14 14:58:53 - RAM: 61.3% used, Swap: 2.0% used
2023-11-14 14:59:03 - RAM: 46.9% used, Swap: 2.0% used
2023-11-14 14:59:13 - RAM: 56.0% used, Swap: 2.0% used
2023-11-14 14:59:23 - RAM: 65.1% used, Swap: 2.0% used
2023-11-14 14:59:33 - RAM: 41.3% used, Swap: 2.0% used
2023-11-14 14:59:43 - RAM: 45.8% used, Swap: 2.0% used
2023-11-14 14:59:53 - RAM: 18.2% used, Swap: 2.0% used
2023-11-14 15:00:03 - RAM: 43.5% used, Swap: 2.0% used
2023-11-14 15:00:13 - RAM: 19.1% used, Swap: 2.0% used
2023-11-14 15:00:23 - RAM: 19.2% used, Swap: 2.0% used
2023-11-14 15:00:33 - RAM: 49.1% used, Swap: 2.0% used
2023-11-14 15:00:43 - RAM: 52.5% used, Swap: 2.0% used
2023-11-14 15:00:53 - RAM: 58.8% used, Swap: 2.0% used
2023-11-14 15:01:03 - RAM: 90.3% used, Swap: 2.0% used
2023-11-14 15:01:13 - RAM: 91.9% used, Swap: 2.4% used
2023-11-14 15:01:23 - RAM: 61.4% used, Swap: 2.6% used
2023-11-14 15:01:33 - RAM: 46.8% used, Swap: 2.6% used
2023-11-14 15:01:43 - RAM: 68.7% used, Swap: 2.6% used
2023-11-14 15:01:53 - RAM: 43.2% used, Swap: 2.6% used
2023-11-14 15:02:03 - RAM: 51.1% used, Swap: 2.6% used
2023-11-14 15:02:13 - RAM: 50.4% used, Swap: 2.6% used
2023-11-14 15:02:23 - RAM: 17.8% used, Swap: 2.6% used
2023-11-14 15:02:33 - RAM: 52.2% used, Swap: 2.6% used
2023-11-14 15:02:43 - RAM: 59.2% used, Swap: 2.6% used
2023-11-14 15:02:53 - RAM: 68.1% used, Swap: 2.6% used
